store	week	hhincome1	hhincome2	hhincome3	hhincome4	hhincome5	hhincome6	hhincome7	hhincome8	hhincome9	hhincome10	hhincome11	hhincome12	hhincome13	hhincome14	hhincome15	hhincome16	hhincome17	hhincome18	hhincome19	hhincome20
2	1	12.28908	9.670177	10.34581	11.10691	11.14776	10.08096	10.04139	10.09694	10.93646	8.851291	9.629704	12.10925	12.43518	11.09655	9.074136	11.56383	10.47598	11.31761	10.95628	10.73356
2	2	9.937614	11.16853	11.30466	11.06321	11.46469	12.58487	10.95103	11.97198	10.61144	9.593679	9.627645	9.719968	11.20697	10.46187	10.51316	11.6573	8.47668	11.32159	10.28266	10.02471
2	3	11.2076	8.578614	9.414486	12.12504	9.671404	10.2499	9.739358	11.3373	10.25721	10.52025	10.18543	10.27269	10.55677	8.676463	10.34144	11.6464	9.590904	11.96942	11.36072	11.35747
2	4	11.58943	10.75534	10.22788	9.357533	9.973598	11.10741	8.675274	11.62779	10.24955	11.07563	11.98277	8.499218	8.030489	11.0805	8.894314	10.27435	11.67579	12.48191	10.79339	11.42795
2	5	8.900941	10.11878	10.17314	11.75603	10.62778	8.63732	10.73702	11.21607	10.25203	10.55204	9.367624	9.109353	10.23714	11.98233	10.21161	10.3392	11.06737	11.89204	10.28755	11.68925
2	6	11.97024	10.66508	9.493695	11.15359	9.28088	12.80084	9.745944	9.943084	10.4206	10.33511	10.537	9.956244	11.39979	10.39971	11.04783	11.26441	11.97577	10.87808	9.549626	10.78204
2	7	8.8491	11.66028	10.74305	10.05866	7.970165	12.08961	10.93231	9.808339	11.53559	10.83334	10.33225	11.37215	10.28352	10.29614	9.512397	12.63533	9.705425	10.53513	9.616861	11.35689
2	8	10.28202	9.781717	9.620513	10.91665	9.525288	8.767975	10.37465	13.125	11.10466	10.88118	11.09788	8.976505	9.203457	9.96382	10.41331	9.985811	9.096771	12.68186	12.2198	9.226569
2	9	10.81891	11.17944	12.47421	10.963	10.54064	11.36746	10.41672	9.392912	9.448081	10.23797	10.39759	9.140633	11.05073	10.8292	10.07599	9.23682	9.842813	9.626051	11.53895	10.73871
2	10	10.4317	10.90349	11.11628	9.173402	10.74562	8.851875	9.644024	11.76705	11.2541	9.217055	11.23746	9.794341	8.889441	9.82982	12.97407	11.33582	11.97076	10.45775	11.72038	11.75079
2	11	9.479151	11.44545	11.90685	9.204015	10.52985	11.32829	9.021835	10.43979	11.13458	10.47745	10.0822	11.25476	8.959587	12.28312	10.48152	10.88659	11.48348	11.4613	10.75011	10.7778
2	12	9.942504	10.94074	12.49067	11.39589	9.753266	10.8066	11.50106	11.02189	11.28382	9.523936	10.41472	8.876226	9.532767	11.29281	10.5249	10.65837	11.24781	11.61568	9.053109	11.30485
2	13	10.60851	9.839777	10.15939	10.44945	10.0068	11.67032	9.962769	11.9993	9.10682	10.07258	10.34779	10.12883	11.98454	11.73572	10.20592	11.53393	9.437598	10.90135	11.4261	12.54124
2	14	11.04313	10.92085	9.993076	11.20004	10.25979	9.202276	11.16679	8.887565	13.56138	10.09524	10.37789	8.947921	10.04571	8.889781	10.80167	10.62061	12.52161	10.86669	11.59925	10.38355
