,store,week,brand,sales_,count,price_,prom_,cost_,rev,total_cost,ms_by_store_week
0,2,1,1,16,14181,3.29,0.0,2.06,52.64,32.96,0.2
1,2,2,1,12,13965,3.27,0.0,2.04,39.24,24.48,0.15
2,2,3,1,6,13538,3.37,0.0,2.15,20.22,12.899999999999999,0.075
3,2,4,1,12,13735,3.3,0.0,2.07,39.599999999999994,24.839999999999996,0.15
4,2,5,1,10,13735,3.34,0.0,2.12,33.4,21.200000000000003,0.125
5,2,6,1,13,14553,3.38,0.0,2.17,43.94,28.21,0.1625
6,2,7,1,11,14229,3.32,0.0,2.1,36.519999999999996,23.1,0.1375
7,2,8,1,9,13890,3.32,0.0,2.09,29.88,18.81,0.1125
8,2,9,1,9,13890,3.32,0.0,2.09,29.88,18.81,0.1125
9,2,10,1,8,15164,3.29,0.0,2.08,26.32,16.64,0.1
10,2,11,1,17,14136,3.31,0.0,2.13,56.27,36.21,0.2125
11,2,12,1,10,14561,3.31,0.0,2.12,33.1,21.200000000000003,0.125
12,2,13,1,11,14692,3.3,0.0,2.12,36.3,23.32,0.1375
13,2,14,1,16,15758,3.55,0.0,2.23,56.8,35.68,0.2
14,2,15,1,4,14936,3.43,0.0,2.11,13.72,8.44,0.05
15,2,16,1,10,15714,3.56,0.0,2.24,35.6,22.400000000000002,0.125
16,2,17,1,11,16886,3.53,0.0,2.24,38.83,24.64,0.1375
17,2,18,1,11,14249,3.46,0.0,2.18,38.06,23.98,0.1375
18,2,19,1,18,14713,2.53,0.78,1.6,45.54,28.8,0.225
19,2,20,1,10,14637,3.58,0.0,2.3,35.8,23.0,0.125
20,2,21,1,8,16514,3.55,0.0,2.27,28.4,18.16,0.1
21,2,22,1,13,14514,3.5,0.0,2.21,45.5,28.73,0.1625
22,2,23,1,9,14701,3.49,0.0,2.15,31.410000000000004,19.349999999999998,0.1125
23,2,24,1,10,14854,3.51,0.0,2.2,35.099999999999994,22.0,0.125
24,2,25,1,10,15918,3.47,0.0,2.19,34.7,21.9,0.125
25,2,26,1,9,13834,3.54,0.0,2.28,31.86,20.52,0.1125
26,2,27,1,6,13259,3.48,0.0,2.19,20.88,13.14,0.075
27,2,28,1,6,13259,3.48,0.0,2.19,20.88,13.14,0.075
28,2,29,1,5,13508,3.56,0.0,2.32,17.8,11.6,0.0625
29,2,30,1,9,13798,3.61,0.0,2.34,32.49,21.06,0.1125
30,2,31,1,4,13108,3.51,0.0,2.24,14.04,8.96,0.05
31,2,32,1,12,12993,3.52,0.0,2.24,42.24,26.880000000000003,0.15
32,2,33,1,6,13991,3.55,0.0,2.29,21.299999999999997,13.74,0.075
33,2,34,1,6,13991,3.55,0.0,2.29,21.299999999999997,13.74,0.075
34,2,35,1,6,13991,3.55,0.0,2.29,21.299999999999997,13.74,0.075
35,2,36,1,7,12830,3.56,0.0,2.26,24.92,15.819999999999999,0.0875
36,2,37,1,11,14864,3.64,0.0,2.38,40.04,26.18,0.1375
37,2,38,1,18,13098,1.74,0.78,1.12,31.32,20.160000000000004,0.225
38,2,39,1,6,12142,3.53,0.0,2.29,21.18,13.74,0.075
39,2,40,1,5,11470,3.61,0.0,2.32,18.05,11.6,0.0625
40,2,41,1,13,15714,3.54,0.0,2.29,46.02,29.77,0.1625
41,2,42,1,10,12279,3.57,0.0,2.32,35.699999999999996,23.2,0.125
42,2,43,1,12,14280,3.59,0.0,2.33,43.08,27.96,0.15
43,2,44,1,8,13674,3.52,0.0,2.27,28.16,18.16,0.1
44,2,45,1,11,14360,3.58,0.0,2.32,39.38,25.52,0.1375
45,2,46,1,8,13736,3.63,0.0,2.37,29.04,18.96,0.1
46,2,47,1,11,13041,3.58,0.0,2.32,39.38,25.52,0.1375
47,2,48,1,15,14148,3.54,0.0,2.26,53.1,33.9,0.1875
48,2,1,2,11,14181,4.82,0.0,3.43,53.02,37.730000000000004,0.1375
49,2,2,2,10,13965,4.73,0.2,3.32,47.300000000000004,33.199999999999996,0.125
50,2,3,2,5,13538,4.91,0.0,3.34,24.55,16.7,0.0625
51,2,4,2,6,13735,4.91,0.0,3.32,29.46,19.919999999999998,0.075
52,2,5,2,7,13735,4.82,0.0,3.33,33.74,23.310000000000002,0.0875
53,2,6,2,15,14553,4.82,0.0,3.39,72.30000000000001,50.85,0.1875
54,2,7,2,10,14229,4.93,0.0,3.46,49.3,34.6,0.125
55,2,8,2,15,13890,5.0,0.0,3.43,75.0,51.45,0.1875
56,2,9,2,15,13890,5.0,0.0,3.43,75.0,51.45,0.1875
57,2,10,2,9,15164,4.85,0.0,3.4,43.65,30.599999999999998,0.1125
58,2,11,2,10,14136,4.91,0.0,3.4,49.1,34.0,0.125
59,2,12,2,16,14561,4.88,0.0,3.59,78.08,57.44,0.2
60,2,13,2,14,14692,4.9,0.0,3.46,68.60000000000001,48.44,0.175
61,2,14,2,14,15758,5.28,0.0,3.54,73.92,49.56,0.175
62,2,15,2,12,14936,5.16,0.0,3.63,61.92,43.56,0.15
63,2,16,2,14,15714,4.78,0.0,3.67,66.92,51.379999999999995,0.175
64,2,17,2,19,16886,4.67,0.74,3.7,88.73,70.3,0.2375
65,2,18,2,13,14249,5.13,0.0,3.88,66.69,50.44,0.1625
66,2,19,2,7,14713,5.19,0.0,3.76,36.330000000000005,26.32,0.0875
67,2,20,2,9,14637,5.28,0.0,3.75,47.52,33.75,0.1125
68,2,21,2,12,16514,5.16,0.0,3.76,61.92,45.12,0.15
69,2,22,2,22,14514,5.3,0.0,3.73,116.6,82.06,0.275
70,2,23,2,7,14701,5.33,0.0,3.72,37.31,26.040000000000003,0.0875
71,2,24,2,11,14854,5.35,0.0,3.7,58.849999999999994,40.7,0.1375
72,2,25,2,15,15918,5.28,0.0,3.84,79.2,57.599999999999994,0.1875
73,2,26,2,8,13834,5.14,0.25,3.8,41.12,30.4,0.1
74,2,27,2,11,13259,5.12,0.0,3.9,56.32,42.9,0.1375
75,2,28,2,11,13259,5.12,0.0,3.9,56.32,42.9,0.1375
76,2,29,2,6,13508,5.32,0.0,3.72,31.92,22.32,0.075
77,2,30,2,10,13798,4.51,0.5,3.87,45.099999999999994,38.7,0.125
78,2,31,2,7,13108,5.25,0.0,3.83,36.75,26.810000000000002,0.0875
79,2,32,2,5,12993,5.11,0.0,3.92,25.55,19.6,0.0625
80,2,33,2,7,13991,5.05,0.0,3.97,35.35,27.790000000000003,0.0875
81,2,34,2,7,13991,5.05,0.0,3.97,35.35,27.790000000000003,0.0875
82,2,35,2,7,13991,5.05,0.0,3.97,35.35,27.790000000000003,0.0875
83,2,36,2,9,12830,4.92,0.33,3.63,44.28,32.67,0.1125
84,2,37,2,8,14864,4.24,0.63,3.72,33.92,29.76,0.1
85,2,38,2,11,13098,5.24,0.0,3.69,57.64,40.589999999999996,0.1375
86,2,39,2,15,12142,5.06,0.0,4.08,75.89999999999999,61.2,0.1875
